ID,구분,심각도,발견 시나리오,대상,제목,상세,근거,제안 조치
ISSUE-04,이슈,Medium,S8 운영,프로젝트상세 §2.2 / 운영상세 §5,G3를 건너뛰고 live가 된 프로젝트의 대시보드 표시 미정,소프트 강제라 환경·헬스체크 없이 live 전이가 가능한데 이때 운영 대시보드 카드에 표시할 데이터가 없다,게이트 소프트 강제 + 대시보드 명세,카드에 '환경을 등록하세요' 빈 상태 + G3 카드 다시 열기 버튼
ISSUE-05,이슈,Medium,S8 운영,기획서 8.1,Supabase 무활동 방지 핑의 전제 조건 미명시,UptimeRobot 핑이 무활동 정지를 막으려면 헬스 엔드포인트가 실제 DB 쿼리를 수행해야 한다. 정적 응답이면 7일 후 일시정지된다,기획서 8.1 플랫폼 제약,/api/health가 가벼운 DB 조회를 포함하도록 스펙에 명시
ISSUE-06,이슈,Medium,S5 달별,일정상세 §5.2 / 화면명세서 §4-2,달별 셀 오버플로 규칙 미정,기록 띠+일정+마감+마일스톤이 한 셀에 몰릴 때의 표시 우선순위와 '+n' 처리가 없다,달별 셀 레이어 표,우선순위 고정(띠>일정>마감>마일스톤) + 초과분 '+n' 클릭 시 일별로 이동
ISSUE-07,이슈,Medium,S2 아침 계획,일정상세 §4.5,여러 날 지난 planned_date 항목의 누적 처리 미정,'어제 못 한 일'만 정의됨. 3일 전 항목의 소속과 자동 반환 여부가 없어 섹션이 무한 누적될 수 있다,일정상세 §4.5,섹션을 '못 한 일(n)'로 일반화하고 7일 경과 시 자동 백로그 반환
ISSUE-08,이슈,Low,S7 프로젝트,화면명세서 §5-1,대기중 프로젝트의 진행률 바가 무의미,idea/planning은 태스크가 없어 항상 0%. 카드에 빈 바만 노출된다,진행률 계산식 (태스크 기반),대기중 그룹 카드에서는 진행률 바 숨김
ISSUE-09,이슈,Low,S8 비용,운영상세 §4·§9 / 화면명세서 §6-6,비용 '월 환산' 계산 규칙 미정,연 구독을 12로 나눠 월 합계에 포함하는지 별도 표기인지 문서 간 표현이 다르다,화면명세서 §6-6 상단 합계,월 주기만 월 합계에 포함하고 연 주기는 별도 병기 (환산하지 않음)
ISSUE-10,이슈,Low,S7 프로젝트,일정상세 §9 S8,프로젝트 색 팔레트 고갈 규칙 미정,자동 배정 팔레트 수를 초과하면(프로젝트 다수) 동작이 정의되지 않았다,S8 결정 (자동 배정),팔레트 순환 재사용 허용 — 진행중 그룹 내 중복만 회피
ISSUE-11,이슈,Low,S1 첫 로그인,화면명세서 §0.1 / 로드맵,미구현 버전의 탭·메뉴 노출 처리 미정,v0.1 시점에 달별·연별 탭과 프로젝트·운영 사이드바 메뉴가 보이는지 정의가 없다,도입 버전 표,미구현 메뉴는 숨김 처리 — 빈 껍데기 노출 금지
ISSUE-12,이슈,Low,S11 백업,기획서 8.2,JSON export 범위 미명시,Storage의 파일·이미지 포함 여부가 불명확하다. 텍스트만이면 '탈출 가능' 원칙에 부분 공백,기획서 1.4 철학 4 + 8.2,v1은 'DB 텍스트 전체·파일 제외'로 명시하고 설정 화면에 고지
USE-01,사용성,Medium,S4 저녁 마무리,일정상세 §4 / 화면명세서 §4-1,다녀온 일정을 타임로그로 옮기려면 이중 입력,15:00 병원(event)을 실제로 다녀오면 타임로그에 같은 내용을 다시 입력해야 한다. 매일 반복되는 마찰,워크스루 — 일정과 기록의 분리 구조,지난 일정 옆 [기록으로 복사] 원탭 버튼 (event→time_log 변환)
USE-02,사용성,Medium,S3 캡처,화면명세서 §3 / 자료상세 §2.4,인박스 자료 처리 시 카테고리 선택이 클릭 수를 늘림,'항목당 클릭 1~2회' 원칙인데 자료 저장은 카테고리 드롭다운까지 3클릭이 될 수 있다,기획서 4.3 처리 UX 원칙,기본 '기타'로 즉시 저장하고 카테고리는 자료수집 페이지에서 후분류
USE-03,사용성,Medium,S1 첫 로그인,기획서 10 빈 화면,첫 로그인 온보딩 동선 부재,빈 런처의 4개 타일이 모두 '아직 없음'일 때 무엇부터 할지 안내가 없다. 첫 15분이 도구 정착을 결정한다,워크스루 S1,최초 1회 3단계 가이드: ① 타임로그 1칸 → ② ⌘K 캡처 1건 → ③ 북마클릿 안내
USE-04,사용성,Medium,S3 캡처 / S10 모바일,기획서 4.1,캡처 저장 실패 시 내용 유실,세션 만료·오프라인에서 ⌘K나 공유 시트 캡처가 실패하면 입력 내용이 사라진다. 마찰 최소화 철학의 최대 리스크,워크스루 S10,로컬 큐에 보관 후 자동 재시도 + 실패 표시
USE-05,사용성,Low,S6 연간 계획,일정상세 §5 / 프로젝트상세 §4,연간 목표에서 프로젝트 생성 직행 경로 없음,'미니게임 만들기' 같은 목표는 사실상 프로젝트 씨앗인데 연별 뷰에서 프로젝트로 만들려면 수동 왕복이 필요하다,워크스루 S6,연간 항목 메뉴에 [프로젝트로 만들기] — idea 생성 + 상호 연결
USE-06,사용성,Low,S3 낮 기록,일정상세 §3.4,타임로그의 태스크 연결 제안이 '제목 일치'만,입력 텍스트가 태스크 제목과 정확히 일치할 때만 제안된다 — 실사용에서 거의 발생하지 않는 조건,일정상세 §3.4,부분 일치 + 오늘 할 일 우선 + 최근 연결 이력 순으로 제안
USE-07,사용성,Low,S7 프로젝트,프로젝트상세 §5.4 / 화면명세서 §0.4,회고 미작성 배지의 색·형태 미정,🔴/🟡 배지 체계 밖의 유일한 상시 배지인데 색이 정의되지 않았다,배지 규칙 vs 회고 배지 예외,중립 회색 텍스트 배지로 정의 — 경고색 금지 (압박 최소화)
USE-08,사용성,Low,S4 저녁 마무리,일정상세 §2·§4.2,컨디션 기록의 열람처가 없음,입력만 있고 다시 보는 화면이 v0.6 통계까지 없다 — 기록 동기가 유지되기 어렵다,워크스루 S4,달별 셀 모서리에 컨디션 이모지 미니 표시(토글)로 조기에 가치 회수
IMP-01,개선,Low,S3 낮 기록,일정상세 §3,반복 블록 빠른 재입력,수면·식사·수업 등 매일 반복되는 블록을 매번 다시 입력해야 한다,제안,일별 헤더에 [어제 블록 복사] 1버튼 (선택 실행 — 강요 없음)
IMP-02,개선,Low,S2 아침 계획,기획서 9 알림,주간 리포트를 별도 화면 전에 알림으로 제공,월요일 일일 요약에 '지난주 기록 nh·프로젝트별 합계' 3줄을 추가하면 v0.6 통계 화면보다 먼저 가치를 회수한다,제안,Vercel Cron 주 1회 확장 (기존 일일 요약에 편승)
IMP-03,개선,Low,S9 자료수집,자료상세 §2,사이트 카드에 도메인·파비콘 표시,썸네일이 없는 사이트가 많아 도메인과 파비콘이 식별에 더 유효하다,제안,파비콘 외부 URL 직접 참조(서버 복사 금지 원칙 준수) + 도메인 표기
